Item #,Quantity,Manufacturer Part #,Description,Reference Designators,Not mount,Mounting Type,Package/Footprint,Manufacturer,Manufacturer Part Page,Note,Vendor #1,Vendor #2,Vendor #3
1,1,TLV77318PDBVR,Fixed 1.8V voltage regulator,U4,,SMD,SOT-23-5 (DBV),Texas Instrument,https://www.ti.com/product/TLV773/part-details/TLV77318PDBVR,,https://www.digikey.no/no/products/detail/texas-instruments/tlv77318pdbvr/23331424,https://no.mouser.com/ProductDetail/Texas-Instruments/TLV77318PDBVR?qs=i8QVZAFTkqTJuDP4u6TAYQ%3D%3D,https://lcsc.com/product-detail/Voltage-Regulators-Linear-Low-Drop-Out-LDO-Regulators_Texas-Instruments-TLV77318PDBVR_C32339535.html?s_z=n_TLV77318PDBVR
2,1,61300811121,2.54mm pitch 8 pins male through-hole headers,J1,,Through-hole,,Würth Elektronik,,,https://www.digikey.no/en/products/detail/w%C3%BCrth-elektronik/61300811121/4846839,,
3,1,PMW3901MB-TXQT,Optical Motion Tracing Chip,U1,,SMD,28-pin QFN,Pixart,https://www.pixart.com/products-detail/44/PMW3901MB-TXQT,,(Alibaba),,
4,1,RC0805FR-100RL,0 Ohm 125mW resistor,R4,,SMD,0805 in,YAGEO,,,https://no.mouser.com/ProductDetail/YAGEO/RC0805FR-100RL?qs=sGAEpiMZZMvdGkrng054t8AJgcdMkx7xHWXHpsqRQHI%3D,,
5,1,RE0805FRE0710KL,10k Ohm resistor,"R1,R2,R3","R2,R3",SMD,0805 in,YAGEO,,,https://no.mouser.com/ProductDetail/YAGEO/RE0805FRE0710KL?qs=sGAEpiMZZMvdGkrng054t8Pyfa06IR6dwI4q%252B328UC0Fr0ZF2sCOtg%3D%3D,,
6,2,C0805C226M9PAC7210,22uF ceramic non-polarity capacitor,"C3,C4","C3,C4",SMD,0805 in,YAGEO KEMET,,,https://no.mouser.com/ProductDetail/KEMET/C0805C226M9PAC7210?qs=kSrfU%2F8XGbk4aYGfk4dTXw%3D%3D,,
7,3,C0805C104JMRECAUTO7210 ,100n/0.1uF ceramic non-polarity capacitor,"C5,C6,C8",,SMD,0805 in,YAGEO KEMET,,,https://no.mouser.com/ProductDetail/KEMET/C0805C104JMRECAUTO7210?qs=55YtniHzbhCWsM9aesOnTg%3D%3D,,
8,4,C0805C105J4RECAUTO7210,1uF 16VDC 5% ceramic non-polarity capacitor,"C1,C2",,SMD,0805 in,YAGEO KEMET,,,https://no.mouser.com/ProductDetail/KEMET/C0805C105J4RECAUTO7210?qs=55YtniHzbhDbyzfJO59W6Q%3D%3D#,,
9,1,C0805C106K4PAC7210,10uF ceramic non-polarity capacitor,C7,,SMD,0805 in,YAGEO KEMET,,,https://no.mouser.com/ProductDetail/KEMET/C0805C106K4PAC7210?qs=zDkSFN9STR9jrJZBgSwCDA%3D%3D,,
10,1,C0805C475K4RACAUTO7210,4.7uF ceramic non-polarity capacitor,C9,,SMD,0805 in,YAGEO KEMET,,,https://no.mouser.com/ProductDetail/KEMET/C0805C475K4RACAUTO7210?qs=HXFqYaX1Q2xkgxFv524wgg%3D%3D,,
11,1,TPD8E003DQDR,TVS diodes package,U2,,SMD,,Texas Instrument,,,https://no.mouser.com/ProductDetail/Texas-Instruments/TPD8E003DQDR?qs=hEBn5lgDlCo1%252BvgoUxxo%252Bg%3D%3D,,
12,1,LM66100QDCKRQ1,Reverse polarity protection,U3,,SMD,SC70-6,Texas Instrument,https://www.ti.com/product/LM66100-Q1,,https://no.mouser.com/ProductDetail/Texas-Instruments/LM66100QDCKRQ1?qs=MyNHzdoqoQIvjdvtKQd0jA%3D%3D,,
